symbol	ensembl_gene_id	name	hgnc_id
ERI1	ENSG00000104626.15	exoribonuclease 1	HGNC:23994
ERI2	ENSG00000196678.14	ERI1 exoribonuclease family member 2	HGNC:30541
ERI3	ENSG00000117419.16	ERI1 exoribonuclease family member 3	HGNC:17276
ERICH1	ENSG00000104714.14	glutamate rich 1	HGNC:27234
ERICH2	ENSG00000204334.7	glutamate rich 2	HGNC:44395
ERICH3	ENSG00000178965.14	glutamate rich 3	HGNC:25346
ERICH4	ENSG00000204978.3	glutamate rich 4	HGNC:34497
ERICH5	ENSG00000177459.11	glutamate rich 5	HGNC:26823
ERICH6	ENSG00000163645.15	glutamate rich 6	HGNC:28602
ERICH6B	ENSG00000165837.12	glutamate rich 6B	HGNC:26523
ERLEC1	ENSG00000068912.15	endoplasmic reticulum lectin 1	HGNC:25222
ERLIN1	ENSG00000107566.14	ER lipid raft associated 1	HGNC:16947
ERLIN2	ENSG00000147475.17	ER lipid raft associated 2	HGNC:1356
ERMAP	ENSG00000164010.15	erythroblast membrane associated protein (Scianna blood group)	HGNC:15743
ERMARD	ENSG00000130023.16	ER membrane associated RNA degradation	HGNC:21056
ERMN	ENSG00000136541.15	ermin	HGNC:29208
ERMP1	ENSG00000099219.15	endoplasmic reticulum metallopeptidase 1	HGNC:23703
ERN1	ENSG00000178607.17	endoplasmic reticulum to nucleus signaling 1	HGNC:3449
ERN2	ENSG00000134398.15	endoplasmic reticulum to nucleus signaling 2	HGNC:16942
ERO1A	ENSG00000197930.13	endoplasmic reticulum oxidoreductase 1 alpha	HGNC:13280
ERO1B	ENSG00000086619.15	endoplasmic reticulum oxidoreductase 1 beta	HGNC:14355
ERP27	ENSG00000139055.7	endoplasmic reticulum protein 27	HGNC:26495
ERP29	ENSG00000089248.7	endoplasmic reticulum protein 29	HGNC:13799
ERP44	ENSG00000023318.9	endoplasmic reticulum protein 44	HGNC:18311
ERRFI1	ENSG00000116285.13	ERBB receptor feedback inhibitor 1	HGNC:18185
ERV3-1	ENSG00000213462.5	endogenous retrovirus group 3 member 1, envelope	HGNC:3454
ERVFRD-1	ENSG00000244476.3	endogenous retrovirus group FRD member 1, envelope	HGNC:33823
ERVH48-1	ENSG00000233056.4	endogenous retrovirus group 48 member 1	HGNC:17216
ERVK3-1	ENSG00000142396.10	endogenous retrovirus group K3 member 1	HGNC:30466
ERVMER34-1	ENSG00000226887.8	endogenous retrovirus group MER34 member 1, envelope	HGNC:42970
ERVV-1	ENSG00000269526.2	endogenous retrovirus group V member 1, envelope	HGNC:26501
ERVV-2	ENSG00000268964.3	endogenous retrovirus group V member 2, envelope	HGNC:39051
ERVW-1	ENSG00000242950.7	endogenous retrovirus group W member 1, envelope	HGNC:13525
ESAM	ENSG00000149564.12	endothelial cell adhesion molecule	HGNC:17474
ESCO1	ENSG00000141446.11	establishment of sister chromatid cohesion N-acetyltransferase 1	HGNC:24645
ESCO2	ENSG00000171320.15	establishment of sister chromatid cohesion N-acetyltransferase 2	HGNC:27230
ESD	ENSG00000139684.15	esterase D	HGNC:3465
ESF1	ENSG00000089048.15	ESF1 nucleolar pre-rRNA processing protein homolog	HGNC:15898
ESM1	ENSG00000164283.13	endothelial cell specific molecule 1	HGNC:3466
ESPL1	ENSG00000135476.12	extra spindle pole bodies like 1, separase	HGNC:16856
ESPN	ENSG00000187017.18	espin	HGNC:13281
ESPNL	ENSG00000144488.15	espin like	HGNC:27937
ESR1	ENSG00000091831.25	estrogen receptor 1	HGNC:3467
ESR2	ENSG00000140009.19	estrogen receptor 2	HGNC:3468
ESRP1	ENSG00000104413.18	epithelial splicing regulatory protein 1	HGNC:25966
ESRP2	ENSG00000103067.14	epithelial splicing regulatory protein 2	HGNC:26152
ESRRA	ENSG00000173153.17	estrogen related receptor alpha	HGNC:3471
ESRRB	ENSG00000119715.15	estrogen related receptor beta	HGNC:3473
ESRRG	ENSG00000196482.18	estrogen related receptor gamma	HGNC:3474
ESS2	ENSG00000100056.12	ess-2 splicing factor homolog	HGNC:16817
ESX1	ENSG00000123576.5	ESX homeobox 1	HGNC:14865
ESYT1	ENSG00000139641.13	extended synaptotagmin 1	HGNC:29534
ESYT2	ENSG00000117868.18	extended synaptotagmin 2	HGNC:22211
ESYT3	ENSG00000158220.14	extended synaptotagmin 3	HGNC:24295
ETAA1	ENSG00000143971.9	ETAA1 activator of ATR kinase	HGNC:24648
ETDA	ENSG00000238210.4	embryonic testis differentiation homolog A	HGNC:53449
ETDB	ENSG00000224107.5	embryonic testis differentiation homolog B	HGNC:44269
ETDC	ENSG00000283644.1	embryonic testis differentiation homolog C	HGNC:53450
ETF1	ENSG00000120705.13	eukaryotic translation termination factor 1	HGNC:3477
ETFA	ENSG00000140374.17	electron transfer flavoprotein subunit alpha	HGNC:3481
ETFB	ENSG00000105379.10	electron transfer flavoprotein subunit beta	HGNC:3482
ETFBKMT	ENSG00000139160.13	electron transfer flavoprotein subunit beta lysine methyltransferase	HGNC:28739
ETFDH	ENSG00000171503.13	electron transfer flavoprotein dehydrogenase	HGNC:3483
ETFRF1	ENSG00000205707.11	electron transfer flavoprotein regulatory factor 1	HGNC:27052
ETHE1	ENSG00000105755.8	ETHE1 persulfide dioxygenase	HGNC:23287
ETNK1	ENSG00000139163.16	ethanolamine kinase 1	HGNC:24649
ETNK2	ENSG00000143845.15	ethanolamine kinase 2	HGNC:25575
ETNPPL	ENSG00000164089.9	ethanolamine-phosphate phospho-lyase	HGNC:14404
ETS1	ENSG00000134954.14	ETS proto-oncogene 1, transcription factor	HGNC:3488
ETS2	ENSG00000157557.13	ETS proto-oncogene 2, transcription factor	HGNC:3489
ETV1	ENSG00000006468.14	ETS variant transcription factor 1	HGNC:3490
ETV2	ENSG00000105672.15	ETS variant transcription factor 2	HGNC:3491
ETV3	ENSG00000117036.12	ETS variant transcription factor 3	HGNC:3492
ETV3L	ENSG00000253831.3	ETS variant transcription factor 3 like	HGNC:33834
ETV4	ENSG00000175832.13	ETS variant transcription factor 4	HGNC:3493
ETV5	ENSG00000244405.8	ETS variant transcription factor 5	HGNC:3494
ETV6	ENSG00000139083.11	ETS variant transcription factor 6	HGNC:3495
ETV7	ENSG00000010030.14	ETS variant transcription factor 7	HGNC:18160
EVA1A	ENSG00000115363.14	eva-1 homolog A, regulator of programmed cell death	HGNC:25816
EVA1B	ENSG00000142694.7	eva-1 homolog B	HGNC:25558
EVA1C	ENSG00000166979.13	eva-1 homolog C	HGNC:13239
EVC	ENSG00000072840.13	EvC ciliary complex subunit 1	HGNC:3497
EVC2	ENSG00000173040.13	EvC ciliary complex subunit 2	HGNC:19747
EVI2A	ENSG00000126860.12	ecotropic viral integration site 2A	HGNC:3499
EVI2B	ENSG00000185862.7	ecotropic viral integration site 2B	HGNC:3500
EVI5	ENSG00000067208.16	ecotropic viral integration site 5	HGNC:3501
EVI5L	ENSG00000142459.9	ecotropic viral integration site 5 like	HGNC:30464
EVL	ENSG00000196405.13	Enah/Vasp-like	HGNC:20234
EVPL	ENSG00000167880.8	envoplakin	HGNC:3503
EVPLL	ENSG00000214860.5	envoplakin like	HGNC:35236
EVX1	ENSG00000106038.13	even-skipped homeobox 1	HGNC:3506
EVX2	ENSG00000174279.5	even-skipped homeobox 2	HGNC:3507
EWSR1	ENSG00000182944.18	EWS RNA binding protein 1	HGNC:3508
EXD1	ENSG00000178997.12	exonuclease 3'-5' domain containing 1	HGNC:28507
EXD2	ENSG00000081177.19	exonuclease 3'-5' domain containing 2	HGNC:20217
EXD3	ENSG00000187609.16	exonuclease 3'-5' domain containing 3	HGNC:26023
EXO1	ENSG00000174371.17	exonuclease 1	HGNC:3511
EXO5	ENSG00000164002.12	exonuclease 5	HGNC:26115
EXOC1	ENSG00000090989.18	exocyst complex component 1	HGNC:30380
EXOC1L	ENSG00000250821.3	exocyst complex component 1 like	HGNC:53433
EXOC2	ENSG00000112685.14	exocyst complex component 2	HGNC:24968
EXOC3	ENSG00000180104.16	exocyst complex component 3	HGNC:30378
EXOC3L1	ENSG00000179044.16	exocyst complex component 3 like 1	HGNC:27540
EXOC3L2	ENSG00000283632.4	exocyst complex component 3 like 2	HGNC:30162
EXOC3L4	ENSG00000205436.8	exocyst complex component 3 like 4	HGNC:20120
EXOC4	ENSG00000131558.15	exocyst complex component 4	HGNC:30389
EXOC5	ENSG00000070367.16	exocyst complex component 5	HGNC:10696
EXOC6	ENSG00000138190.17	exocyst complex component 6	HGNC:23196
EXOC6B	ENSG00000144036.16	exocyst complex component 6B	HGNC:17085
EXOC7	ENSG00000182473.22	exocyst complex component 7	HGNC:23214
EXOC8	ENSG00000116903.7	exocyst complex component 8	HGNC:24659
EXOG	ENSG00000157036.13	exo/endonuclease G	HGNC:3347
EXOSC1	ENSG00000171311.13	exosome component 1	HGNC:17286
EXOSC10	ENSG00000171824.14	exosome component 10	HGNC:9138
EXOSC2	ENSG00000130713.17	exosome component 2	HGNC:17097
EXOSC3	ENSG00000107371.14	exosome component 3	HGNC:17944
EXOSC4	ENSG00000178896.9	exosome component 4	HGNC:18189
EXOSC5	ENSG00000077348.10	exosome component 5	HGNC:24662
EXOSC6	ENSG00000223496.3	exosome component 6	HGNC:19055
EXOSC7	ENSG00000075914.13	exosome component 7	HGNC:28112
EXOSC8	ENSG00000120699.14	exosome component 8	HGNC:17035
EXOSC9	ENSG00000123737.13	exosome component 9	HGNC:9137
EXPH5	ENSG00000110723.12	exophilin 5	HGNC:30578
EXT1	ENSG00000182197.13	exostosin glycosyltransferase 1	HGNC:3512
EXT2	ENSG00000151348.16	exostosin glycosyltransferase 2	HGNC:3513
EXTL1	ENSG00000158008.10	exostosin like glycosyltransferase 1	HGNC:3515
EXTL2	ENSG00000162694.14	exostosin like glycosyltransferase 2	HGNC:3516
EXTL3	ENSG00000012232.9	exostosin like glycosyltransferase 3	HGNC:3518
EYA1	ENSG00000104313.20	EYA transcriptional coactivator and phosphatase 1	HGNC:3519
EYA2	ENSG00000064655.19	EYA transcriptional coactivator and phosphatase 2	HGNC:3520
EYA3	ENSG00000158161.16	EYA transcriptional coactivator and phosphatase 3	HGNC:3521
EYA4	ENSG00000112319.20	EYA transcriptional coactivator and phosphatase 4	HGNC:3522
EYS	ENSG00000188107.15	eyes shut homolog	HGNC:21555
EZH1	ENSG00000108799.13	enhancer of zeste 1 polycomb repressive complex 2 subunit	HGNC:3526
EZH2	ENSG00000106462.12	enhancer of zeste 2 polycomb repressive complex 2 subunit	HGNC:3527
EZHIP	ENSG00000187690.4	EZH inhibitory protein	HGNC:33738
EZR	ENSG00000092820.19	ezrin	HGNC:12691
F10	ENSG00000126218.12	coagulation factor X	HGNC:3528
F11	ENSG00000088926.14	coagulation factor XI	HGNC:3529
F11R	ENSG00000158769.18	F11 receptor	HGNC:14685
F12	ENSG00000131187.10	coagulation factor XII	HGNC:3530
F13A1	ENSG00000124491.16	coagulation factor XIII A chain	HGNC:3531
F13B	ENSG00000143278.5	coagulation factor XIII B chain	HGNC:3534
F2	ENSG00000180210.15	coagulation factor II, thrombin	HGNC:3535
F2R	ENSG00000181104.7	coagulation factor II thrombin receptor	HGNC:3537
F2RL1	ENSG00000164251.5	F2R like trypsin receptor 1	HGNC:3538
F2RL2	ENSG00000164220.7	coagulation factor II thrombin receptor like 2	HGNC:3539
F2RL3	ENSG00000127533.4	F2R like thrombin or trypsin receptor 3	HGNC:3540
F3	ENSG00000117525.14	coagulation factor III, tissue factor	HGNC:3541
F5	ENSG00000198734.12	coagulation factor V	HGNC:3542
F7	ENSG00000057593.14	coagulation factor VII	HGNC:3544
F8	ENSG00000185010.15	coagulation factor VIII	HGNC:3546
F8A1	ENSG00000288722.1	coagulation factor VIII associated 1	HGNC:3547
F8A2	ENSG00000288709.1	coagulation factor VIII associated 2	HGNC:31849
F8A3	ENSG00000277150.2	coagulation factor VIII associated 3	HGNC:31850
F9	ENSG00000101981.12	coagulation factor IX	HGNC:3551
FA2H	ENSG00000103089.9	fatty acid 2-hydroxylase	HGNC:21197
FAAH	ENSG00000117480.16	fatty acid amide hydrolase	HGNC:3553
FAAH2	ENSG00000165591.7	fatty acid amide hydrolase 2	HGNC:26440
FAAP100	ENSG00000185504.17	FA core complex associated protein 100	HGNC:26171
FAAP20	ENSG00000162585.17	FA core complex associated protein 20	HGNC:26428
FAAP24	ENSG00000131944.10	FA core complex associated protein 24	HGNC:28467
FABP1	ENSG00000163586.10	fatty acid binding protein 1	HGNC:3555
FABP12	ENSG00000197416.5	fatty acid binding protein 12	HGNC:34524
FABP2	ENSG00000145384.4	fatty acid binding protein 2	HGNC:3556
FABP3	ENSG00000121769.8	fatty acid binding protein 3	HGNC:3557
FABP4	ENSG00000170323.9	fatty acid binding protein 4	HGNC:3559
FABP5	ENSG00000164687.11	fatty acid binding protein 5	HGNC:3560
FABP6	ENSG00000170231.16	fatty acid binding protein 6	HGNC:3561
FABP7	ENSG00000164434.12	fatty acid binding protein 7	HGNC:3562
FABP9	ENSG00000205186.4	fatty acid binding protein 9	HGNC:3563
FADD	ENSG00000168040.5	Fas associated via death domain	HGNC:3573
FADS1	ENSG00000149485.19	fatty acid desaturase 1	HGNC:3574
FADS2	ENSG00000134824.14	fatty acid desaturase 2	HGNC:3575
FADS3	ENSG00000221968.9	fatty acid desaturase 3	HGNC:3576
FADS6	ENSG00000172782.13	fatty acid desaturase 6	HGNC:30459
FAF1	ENSG00000185104.21	Fas associated factor 1	HGNC:3578
FAF2	ENSG00000113194.13	Fas associated factor family member 2	HGNC:24666
FAH	ENSG00000103876.14	fumarylacetoacetate hydrolase	HGNC:3579
FAHD1	ENSG00000180185.12	fumarylacetoacetate hydrolase domain containing 1	HGNC:14169
FAHD2A	ENSG00000115042.10	fumarylacetoacetate hydrolase domain containing 2A	HGNC:24252
FAHD2B	ENSG00000144199.12	fumarylacetoacetate hydrolase domain containing 2B	HGNC:25318
FAIM	ENSG00000158234.13	Fas apoptotic inhibitory molecule	HGNC:18703
FAIM2	ENSG00000135472.9	Fas apoptotic inhibitory molecule 2	HGNC:17067
FAM102A	ENSG00000167106.12	family with sequence similarity 102 member A	HGNC:31419
FAM102B	ENSG00000162636.16	family with sequence similarity 102 member B	HGNC:27637
FAM104A	ENSG00000133193.13	family with sequence similarity 104 member A	HGNC:25918
FAM104B	ENSG00000182518.14	family with sequence similarity 104 member B	HGNC:25085
FAM107A	ENSG00000168309.18	family with sequence similarity 107 member A	HGNC:30827
FAM107B	ENSG00000065809.14	family with sequence similarity 107 member B	HGNC:23726
FAM110A	ENSG00000125898.13	family with sequence similarity 110 member A	HGNC:16188
FAM110B	ENSG00000169122.12	family with sequence similarity 110 member B	HGNC:28587
FAM110C	ENSG00000184731.6	family with sequence similarity 110 member C	HGNC:33340
FAM110D	ENSG00000197245.6	family with sequence similarity 110 member D	HGNC:25860
FAM111A	ENSG00000166801.17	FAM111 trypsin like peptidase A	HGNC:24725
FAM111B	ENSG00000189057.11	FAM111 trypsin like peptidase B	HGNC:24200
FAM114A1	ENSG00000197712.12	family with sequence similarity 114 member A1	HGNC:25087
FAM114A2	ENSG00000055147.19	family with sequence similarity 114 member A2	HGNC:1333
FAM117A	ENSG00000121104.8	family with sequence similarity 117 member A	HGNC:24179
FAM117B	ENSG00000138439.12	family with sequence similarity 117 member B	HGNC:14440
FAM118A	ENSG00000100376.12	family with sequence similarity 118 member A	HGNC:1313
FAM118B	ENSG00000197798.9	family with sequence similarity 118 member B	HGNC:26110
FAM120A	ENSG00000048828.17	family with sequence similarity 120A	HGNC:13247
FAM120AOS	ENSG00000188938.17	family with sequence similarity 120A opposite strand	HGNC:23389
FAM120B	ENSG00000112584.14	family with sequence similarity 120B	HGNC:21109
FAM120C	ENSG00000184083.12	family with sequence similarity 120C	HGNC:16949
FAM124A	ENSG00000150510.17	family with sequence similarity 124 member A	HGNC:26413
FAM124B	ENSG00000124019.10	family with sequence similarity 124 member B	HGNC:26224
FAM126A	ENSG00000122591.13	family with sequence similarity 126 member A	HGNC:24587
FAM126B	ENSG00000155744.10	family with sequence similarity 126 member B	HGNC:28593
FAM131A	ENSG00000175182.15	family with sequence similarity 131 member A	HGNC:28308
FAM131B	ENSG00000159784.18	family with sequence similarity 131 member B	HGNC:22202
FAM131C	ENSG00000185519.9	family with sequence similarity 131 member C	HGNC:26717
FAM133A	ENSG00000179083.7	family with sequence similarity 133 member A	HGNC:26748
FAM133B	ENSG00000234545.8	family with sequence similarity 133 member B	HGNC:28629
FAM135A	ENSG00000082269.17	family with sequence similarity 135 member A	HGNC:21084
FAM135B	ENSG00000147724.12	family with sequence similarity 135 member B	HGNC:28029
FAM136A	ENSG00000035141.8	family with sequence similarity 136 member A	HGNC:25911
FAM13A	ENSG00000138640.15	family with sequence similarity 13 member A	HGNC:19367
FAM13B	ENSG00000031003.11	family with sequence similarity 13 member B	HGNC:1335
FAM13C	ENSG00000148541.13	family with sequence similarity 13 member C	HGNC:19371
FAM149A	ENSG00000109794.14	family with sequence similarity 149 member A	HGNC:24527
FAM149B1	ENSG00000138286.15	family with sequence similarity 149 member B1	HGNC:29162
FAM151A	ENSG00000162391.12	family with sequence similarity 151 member A	HGNC:25032
FAM151B	ENSG00000152380.10	family with sequence similarity 151 member B	HGNC:33716
FAM153A	ENSG00000170074.19	family with sequence similarity 153 member A	HGNC:29940
FAM153B	ENSG00000182230.12	family with sequence similarity 153 member B	HGNC:27323
FAM156A	ENSG00000268350.8	family with sequence similarity 156 member A	HGNC:30114
FAM156B	ENSG00000179304.18	family with sequence similarity 156 member B	HGNC:31962
FAM161A	ENSG00000170264.13	FAM161 centrosomal protein A	HGNC:25808
FAM161B	ENSG00000156050.10	FAM161 centrosomal protein B	HGNC:19854
FAM162A	ENSG00000114023.16	family with sequence similarity 162 member A	HGNC:17865
FAM162B	ENSG00000183807.8	family with sequence similarity 162 member B	HGNC:21549
FAM163A	ENSG00000143340.7	family with sequence similarity 163 member A	HGNC:28274
FAM163B	ENSG00000196990.9	family with sequence similarity 163 member B	HGNC:33277
FAM166A	ENSG00000188163.8	family with sequence similarity 166 member A	HGNC:33818
FAM166B	ENSG00000215187.13	family with sequence similarity 166 member B	HGNC:34242
FAM166C	ENSG00000173557.15	family with sequence similarity 166 member C	HGNC:27938
FAM167A	ENSG00000154319.16	family with sequence similarity 167 member A	HGNC:15549
FAM167B	ENSG00000183615.6	family with sequence similarity 167 member B	HGNC:28133
FAM168A	ENSG00000054965.11	family with sequence similarity 168 member A	HGNC:28999
FAM168B	ENSG00000152102.18	family with sequence similarity 168 member B	HGNC:27016
FAM169A	ENSG00000198780.13	family with sequence similarity 169 member A	HGNC:29138
FAM170A	ENSG00000164334.15	family with sequence similarity 170 member A	HGNC:27963
FAM170B	ENSG00000172538.7	family with sequence similarity 170 member B	HGNC:19736
FAM171A1	ENSG00000148468.17	family with sequence similarity 171 member A1	HGNC:23522
FAM171A2	ENSG00000161682.15	family with sequence similarity 171 member A2	HGNC:30480
FAM171B	ENSG00000144369.14	family with sequence similarity 171 member B	HGNC:29412
FAM172A	ENSG00000113391.19	family with sequence similarity 172 member A	HGNC:25365
FAM174A	ENSG00000174132.9	family with sequence similarity 174 member A	HGNC:24943
FAM174B	ENSG00000185442.13	family with sequence similarity 174 member B	HGNC:34339
FAM174C	ENSG00000228300.14	family with sequence similarity 174 member C	HGNC:26073
FAM177A1	ENSG00000151327.13	family with sequence similarity 177 member A1	HGNC:19829
FAM177B	ENSG00000197520.11	family with sequence similarity 177 member B	HGNC:34395
FAM178B	ENSG00000168754.15	family with sequence similarity 178 member B	HGNC:28036
FAM180A	ENSG00000189320.9	family with sequence similarity 180 member A	HGNC:33773
FAM180B	ENSG00000196666.6	family with sequence similarity 180 member B	HGNC:34451
FAM181A	ENSG00000140067.7	family with sequence similarity 181 member A	HGNC:20491
FAM181B	ENSG00000182103.5	family with sequence similarity 181 member B	HGNC:28512
FAM183A	ENSG00000186973.11	family with sequence similarity 183 member A	HGNC:34347
FAM184A	ENSG00000111879.20	family with sequence similarity 184 member A	HGNC:20991
FAM184B	ENSG00000047662.5	family with sequence similarity 184 member B	HGNC:29235
FAM185A	ENSG00000222011.9	family with sequence similarity 185 member A	HGNC:22412
FAM186A	ENSG00000185958.10	family with sequence similarity 186 member A	HGNC:26980
FAM186B	ENSG00000135436.8	family with sequence similarity 186 member B	HGNC:25296
FAM187A	ENSG00000214447.5	family with sequence similarity 187 member A	HGNC:35153
FAM187B	ENSG00000177558.4	family with sequence similarity 187 member B	HGNC:26366
FAM189A1	ENSG00000104059.5	family with sequence similarity 189 member A1	HGNC:29075
FAM189A2	ENSG00000135063.20	family with sequence similarity 189 member A2	HGNC:24820
FAM189B	ENSG00000160767.22	family with sequence similarity 189 member B	HGNC:1233
FAM193A	ENSG00000125386.16	family with sequence similarity 193 member A	HGNC:16822
FAM193B	ENSG00000146067.16	family with sequence similarity 193 member B	HGNC:25524
FAM199X	ENSG00000123575.9	family with sequence similarity 199, X-linked	HGNC:25195
FAM200A	ENSG00000221909.3	family with sequence similarity 200 member A	HGNC:25401
FAM200B	ENSG00000237765.8	family with sequence similarity 200 member B	HGNC:27740
FAM204A	ENSG00000165669.14	family with sequence similarity 204 member A	HGNC:25794
FAM205A	ENSG00000205108.6	family with sequence similarity 205 member A	HGNC:41911
FAM205C	ENSG00000187791.13	family with sequence similarity 205 member C	HGNC:42673
FAM209A	ENSG00000124103.10	family with sequence similarity 209 member A	HGNC:16100
FAM209B	ENSG00000213714.1	family with sequence similarity 209 member B	HGNC:16101
FAM20A	ENSG00000108950.12	FAM20A golgi associated secretory pathway pseudokinase	HGNC:23015
FAM20B	ENSG00000116199.12	FAM20B glycosaminoglycan xylosylkinase	HGNC:23017
FAM20C	ENSG00000177706.9	FAM20C golgi associated secretory pathway kinase	HGNC:22140
FAM210A	ENSG00000177150.13	family with sequence similarity 210 member A	HGNC:28346
FAM210B	ENSG00000124098.10	family with sequence similarity 210 member B	HGNC:16102
FAM214A	ENSG00000047346.13	family with sequence similarity 214 member A	HGNC:25609
FAM214B	ENSG00000005238.20	family with sequence similarity 214 member B	HGNC:25666
FAM216A	ENSG00000204856.12	family with sequence similarity 216 member A	HGNC:30180
FAM216B	ENSG00000179813.7	family with sequence similarity 216 member B	HGNC:26883
FAM217A	ENSG00000145975.15	family with sequence similarity 217 member A	HGNC:21362
FAM217B	ENSG00000196227.11	family with sequence similarity 217 member B	HGNC:16170
FAM219A	ENSG00000164970.15	family with sequence similarity 219 member A	HGNC:19920
FAM219B	ENSG00000178761.15	family with sequence similarity 219 member B	HGNC:24695
FAM220A	ENSG00000178397.13	family with sequence similarity 220 member A	HGNC:22422
FAM221A	ENSG00000188732.11	family with sequence similarity 221 member A	HGNC:27977
FAM221B	ENSG00000204930.10	family with sequence similarity 221 member B	HGNC:30762
FAM222A	ENSG00000139438.6	family with sequence similarity 222 member A	HGNC:25915
FAM222B	ENSG00000173065.14	family with sequence similarity 222 member B	HGNC:25563
FAM227A	ENSG00000184949.18	family with sequence similarity 227 member A	HGNC:44197
FAM227B	ENSG00000166262.16	family with sequence similarity 227 member B	HGNC:26543
FAM228A	ENSG00000186453.13	family with sequence similarity 228 member A	HGNC:34418
FAM228B	ENSG00000219626.9	family with sequence similarity 228 member B	HGNC:24736
FAM229A	ENSG00000225828.2	family with sequence similarity 229 member A	HGNC:44652
FAM229B	ENSG00000203778.8	family with sequence similarity 229 member B	HGNC:33858
FAM234A	ENSG00000167930.17	family with sequence similarity 234 member A	HGNC:14163
FAM234B	ENSG00000084444.14	family with sequence similarity 234 member B	HGNC:29288
FAM236A	ENSG00000275520.2	family with sequence similarity 235 member A	HGNC:44268
FAM236B	ENSG00000268994.3	family with sequence similarity 236 member B	HGNC:52640
FAM236C	ENSG00000283594.1	family with sequence similarity 236 member C	HGNC:52641
FAM236D	ENSG00000225396.6	family with sequence similarity 236 member D	HGNC:52642
FAM237A	ENSG00000235118.9	family with sequence similarity 237 member A	HGNC:52388
FAM237B	ENSG00000283267.2	family with sequence similarity 237 member B	HGNC:53217
FAM240A	ENSG00000283473.5	family with sequence similarity 240 member A	HGNC:52390
FAM240B	ENSG00000283329.2	family with sequence similarity 240 member B	HGNC:53430
FAM240C	ENSG00000216921.9	family with sequence similarity 240 member C	HGNC:54200
FAM241A	ENSG00000174749.6	family with sequence similarity 241 member A	HGNC:26813
FAM241B	ENSG00000171224.9	family with sequence similarity 241 member B	HGNC:23519
FAM243A	ENSG00000222018.2	family with sequence similarity 243 member A	HGNC:39602
FAM243B	ENSG00000277277.4	family with sequence similarity 243 member B	HGNC:53888
FAM246A	ENSG00000286102.1	family with sequence similarity 246 member A	HGNC:54844
FAM246B	ENSG00000286175.1	family with sequence similarity 246 member B	HGNC:54843
FAM24A	ENSG00000203795.3	family with sequence similarity 24 member A	HGNC:23470
FAM24B	ENSG00000213185.7	family with sequence similarity 24 member B	HGNC:23475
FAM25A	ENSG00000188100.9	family with sequence similarity 25 member A	HGNC:23436
FAM25C	ENSG00000276430.3	family with sequence similarity 25 member C	HGNC:23586
FAM25G	ENSG00000189090.8	family with sequence similarity 25 member G	HGNC:23590
FAM32A	ENSG00000105058.12	family with sequence similarity 32 member A	HGNC:24563
FAM3A	ENSG00000071889.17	FAM3 metabolism regulating signaling molecule A	HGNC:13749
FAM3B	ENSG00000183844.17	FAM3 metabolism regulating signaling molecule B	HGNC:1253
FAM3C	ENSG00000196937.11	FAM3 metabolism regulating signaling molecule C	HGNC:18664
FAM3D	ENSG00000198643.7	FAM3 metabolism regulating signaling molecule D	HGNC:18665
FAM43A	ENSG00000185112.6	family with sequence similarity 43 member A	HGNC:26888
FAM43B	ENSG00000183114.8	family with sequence similarity 43 member B	HGNC:31791
FAM47A	ENSG00000185448.12	family with sequence similarity 47 member A	HGNC:29962
FAM47B	ENSG00000189132.6	family with sequence similarity 47 member B	HGNC:26659
FAM47C	ENSG00000198173.5	family with sequence similarity 47 member C	HGNC:25301
FAM47E	ENSG00000189157.14	family with sequence similarity 47 member E	HGNC:34343
FAM47E-STBD1	ENSG00000272414.6	FAM47E-STBD1 readthrough	HGNC:44667
FAM50A	ENSG00000071859.15	family with sequence similarity 50 member A	HGNC:18786
FAM50B	ENSG00000145945.7	family with sequence similarity 50 member B	HGNC:18789
FAM53A	ENSG00000174137.14	family with sequence similarity 53 member A	HGNC:31860
FAM53B	ENSG00000189319.14	family with sequence similarity 53 member B	HGNC:28968
FAM53C	ENSG00000120709.11	family with sequence similarity 53 member C	HGNC:1336
FAM71A	ENSG00000162771.8	family with sequence similarity 71 member A	HGNC:26541
FAM71B	ENSG00000170613.4	family with sequence similarity 71 member B	HGNC:28397
FAM71C	ENSG00000180219.2	family with sequence similarity 71 member C	HGNC:28594
FAM71D	ENSG00000172717.16	family with sequence similarity 71 member D	HGNC:20101
FAM71E1	ENSG00000142530.11	family with sequence similarity 71 member E1	HGNC:25107
FAM71E2	ENSG00000180043.11	family with sequence similarity 71 member E2	HGNC:25278
FAM71F1	ENSG00000135248.16	family with sequence similarity 71 member F1	HGNC:30704
FAM71F2	ENSG00000205085.13	family with sequence similarity 71 member F2	HGNC:27998
FAM72A	ENSG00000196550.11	family with sequence similarity 72 member A	HGNC:24044
FAM72B	ENSG00000188610.12	family with sequence similarity 72 member B	HGNC:24805
FAM72C	ENSG00000263513.6	family with sequence similarity 72 member C	HGNC:30602
FAM72D	ENSG00000215784.6	family with sequence similarity 72 member D	HGNC:33593
FAM76A	ENSG00000009780.16	family with sequence similarity 76 member A	HGNC:28530
FAM76B	ENSG00000077458.13	family with sequence similarity 76 member B	HGNC:28492
FAM78A	ENSG00000126882.13	family with sequence similarity 78 member A	HGNC:25465
FAM78B	ENSG00000188859.7	family with sequence similarity 78 member B	HGNC:13495
