row	symbol	prevSymbols	synonyms	name	refSeqName	hgnc_id
592	TGFA	NA	NA	transforming growth factor alpha	TGFA	HGNC:11765
593	SOX9	CMD1,CMPD1	SRA1	SRY-box 9	SOX9	HGNC:11204
594	CD109	NA	FLJ38569,DKFZP762L1111,CPAMD7	CD109 molecule	CD109	HGNC:21685
595	STEAP2	PCANAP1	IPCA-1,STAMP1,STMP	STEAP2 metalloreductase	STEAP2	HGNC:17885
596	HSPA5	GRP78	BIP	heat shock protein family A (Hsp70) member 5	HSPA5	HGNC:5238
597	NCOA2	NA	TIF2,GRIP1,NCOA-2,KAT13C,BHLHE75	nuclear receptor coactivator 2	NCOA2	HGNC:7669
598	WAS	IMD2,THC	WASP,WASPA	Wiskott-Aldrich syndrome	WAS	HGNC:12731
599	ZNF146	NA	OZF	zinc finger protein 146	ZNF146	HGNC:12931
600	MARK4	MARKL1	NBLA00650,FLJ90097,KIAA1860,PAR-1D	microtubule affinity regulating kinase 4	MARK4	HGNC:13538
601	CD55	DAF	CR,TC,CROM	CD55 molecule (Cromer blood group)	CD55	HGNC:2665
602	MYOD1	MYF3	PUM,MYOD,BHLHC1	myogenic differentiation 1	MYOD1	HGNC:7611
603	FLT3	NA	STK1,FLK2,CD135	fms related tyrosine kinase 3	FLT3	HGNC:3765
604	LYL1	NA	BHLHA18	LYL1, basic helix-loop-helix family member	LYL1	HGNC:6734
605	HOXC11	HOX3H	NA	homeobox C11	HOXC11	HGNC:5123
606	APLNR	AGTRL1	FLJ90771,APJ,APJR	apelin receptor	APLNR	HGNC:339
607	NKX2-5	CSX,NKX2E	CSX1,NKX2.5,NKX4-1	NK2 homeobox 5	NKX2-5	HGNC:2488
608	ZNF318	NA	HRIHFB2436,ZFP318	zinc finger protein 318	ZNF318	HGNC:13578
609	ABTB2	NA	DKFZP586C1619,BTBD22,ABTB2A	ankyrin repeat and BTB domain containing 2	ABTB2	HGNC:23842
610	FUS	ALS6	TLS,FUS1,HNRNP-P2,HNRNPP2	FUS RNA binding protein	FUS	HGNC:4010
611	ICAM5	TLCN	TLN	intercellular adhesion molecule 5	ICAM5	HGNC:5348
612	SYNE1	C6ORF98	SYNE-1B,KIAA0796,8B,NESPRIN-1,ENAPTIN,MYNE1,CPG2,DJ45H2.2,SCAR8,ARCA1,NESP1	spectrin repeat containing nuclear envelope protein 1	SYNE1	HGNC:17089
613	UCHL5	NA	UCH37,CGI-70,INO80R	ubiquitin C-terminal hydrolase L5	UCHL5	HGNC:19678
614	SUSD3	NA	MGC26847	sushi domain containing 3	SUSD3	HGNC:28391
615	RNF216	NA	TRIAD3,UBCE7IP1,ZIN	ring finger protein 216	RNF216	HGNC:21698
616	COL7A1	EBDCT,EBD1,EBR1	NA	collagen type VII alpha 1 chain	COL7A1	HGNC:2214
617	PLD1	NA	NA	phospholipase D1	PLD1	HGNC:9067
618	MUC6	NA	NA	mucin 6, oligomeric mucus/gel-forming	MUC6	HGNC:7517
619	COL28A1	NA	NA	collagen type XXVIII alpha 1 chain	COL28A1	HGNC:22442
620	ZMYND8	PRKCBP1	RACK7	zinc finger MYND-type containing 8	ZMYND8	HGNC:9397
621	ADAMTSL3	NA	KIAA1233,PUNCTIN-2	ADAMTS like 3	ADAMTSL3	HGNC:14633
622	SPECC1	CYTSB	HCMOGT-1,FLJ36955,NSP	sperm antigen with calponin homology and coiled-coil domains 1	SPECC1	HGNC:30615
623	CREB3L1	NA	OASIS	cAMP responsive element binding protein 3 like 1	CREB3L1	HGNC:18856
624	BRD3	NA	RING3L,ORFX,KIAA0043	bromodomain containing 3	BRD3	HGNC:1104
625	RET	HSCR1,MEN2A,MTC1,MEN2B	PTC,CDHF12,RET51,CDHR16	ret proto-oncogene	RET	HGNC:9967
626	OTX2	NA	NA	orthodenticle homeobox 2	OTX2	HGNC:8522
627	CLTCL1	CLTCL	CLTD,CLH22,CHC22	clathrin heavy chain like 1	CLTCL1	HGNC:2093
628	DUSP10	NA	MKP-5,MKP5	dual specificity phosphatase 10	DUSP10	HGNC:3065
629	RLN2	NA	H2,RLXH2,BA12D24.1.1,BA12D24.1.2	relaxin 2	RLN2	HGNC:10027
630	ADIPOR1	NA	PAQR1,ACDCR1	adiponectin receptor 1	ADIPOR1	HGNC:24040
631	MUC16	NA	CA125,FLJ14303	mucin 16, cell surface associated	MUC16	HGNC:15582
632	NTRK1	NA	TRK,TRKA,MTC	neurotrophic receptor tyrosine kinase 1	NTRK1	HGNC:8031
633	REG4	NA	REG-IV,RELP,GISP	regenerating family member 4	REG4	HGNC:22977
634	KDM6A	UTX	NA	lysine demethylase 6A	KDM6A	HGNC:12637
635	PLAGL2	NA	ZNF900	PLAG1 like zinc finger 2	PLAGL2	HGNC:9047
636	TGFBI	CSD3,LCD1,CSD1,CSD2	BIGH3,CDB1,CDGG1	transforming growth factor beta induced	TGFBI	HGNC:11771
637	AATF	NA	DED,CHE-1,CHE1,BFR2	apoptosis antagonizing transcription factor	AATF	HGNC:19235
638	SBNO1	NA	MOP3,FLJ10701,FLJ10833,SNO	strawberry notch homolog 1	SBNO1	HGNC:22973
639	SMYD3	ZNFN3A1,ZMYND1	KMT3E	SET and MYND domain containing 3	SMYD3	HGNC:15513
640	CPLX2	NA	CPX-2,DKFZP547D155	complexin 2	CPLX2	HGNC:2310
641	PTPN13	NA	PTP1E,PTP-BAS,PTPL1,PTP-BL	protein tyrosine phosphatase, non-receptor type 13	PTPN13	HGNC:9646
642	PSIP1	PSIP2	P52,LEDGF,P75,DFS70	PC4 and SFRS1 interacting protein 1	PSIP1	HGNC:9527
643	PLA2G2A	PLA2B,PLA2L	NA	phospholipase A2 group IIA	PLA2G2A	HGNC:9031
644	RCC2	NA	TD-60	regulator of chromosome condensation 2	RCC2	HGNC:30297
645	JAZF1	NA	TIP27,DKFZP761K2222,ZNF802	JAZF zinc finger 1	JAZF1	HGNC:28917
646	ARAP2	CENTD1	PARX	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	ARAP2	HGNC:16924
647	TACSTD2	M1S1	TROP2,GA733-1,EGP-1	tumor associated calcium signal transducer 2	TACSTD2	HGNC:11530
648	FGFR1	FLT2,KAL2	H2,H3,H4,H5,CEK,FLG,BFGFR,N-SAM,CD331	fibroblast growth factor receptor 1	FGFR1	HGNC:3688
649	WRAP53	WDR79	FLJ10385,TCAB1	WD repeat containing antisense to TP53	WRAP53	HGNC:25522
650	HOXA3	HOX1E,HOX1	NA	homeobox A3	HOXA3	HGNC:5104
651	ERBB2	NGL	NEU,HER-2,CD340,HER2	erb-b2 receptor tyrosine kinase 2	ERBB2	HGNC:3430
652	CDA	NA	CDD	cytidine deaminase	CDA	HGNC:1712
653	RAP1GDS1	NA	SMGGDS	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	HGNC:9859
654	IFI27	NA	P27,FAM14D,ISG12	interferon alpha inducible protein 27	IFI27	HGNC:5397
655	MAFK	NA	P18,NFE2U	MAF bZIP transcription factor K	MAFK	HGNC:6782
656	HEXIM1	NA	CLP-1,HIS1,MAQ1,EDG1	hexamethylene bisacetamide inducible 1	HEXIM1	HGNC:24953
657	SOCS1	NA	SOCS-1,SSI-1,JAB,TIP3,CISH1	suppressor of cytokine signaling 1	SOCS1	HGNC:19383
658	CRTC3	NA	FLJ21868	CREB regulated transcription coactivator 3	CRTC3	HGNC:26148
659	RNF213	C17ORF27,KIAA1618,MYMY2	KIAA1554,NET57,ALO17	ring finger protein 213	RNF213	HGNC:14539
660	RASGRP2	NA	CALDAG-GEFI	RAS guanyl releasing protein 2	RASGRP2	HGNC:9879
661	AVPI1	NA	VIP32,PP5395,VIT32	arginine vasopressin induced 1	AVPI1	HGNC:30898
662	RUNX2	CCD,CBFA1,CCD1	AML3,PEBP2A1,PEBP2AA1	runt related transcription factor 2	RUNX2	HGNC:10472
663	MTA1	NA	NA	metastasis associated 1	MTA1	HGNC:7410
664	CTSH	CPSB	ACC-4,ACC-5,ACC4,ACC5	cathepsin H	CTSH	HGNC:2535
665	NUDT6	NA	GFG-1,GFG,FGF2AS,FGF-AS	nudix hydrolase 6	NUDT6	HGNC:8053
666	KAT14	CSRP2BP	CRP2BP,DJ717M23.1,PRO1194,ATAC2	lysine acetyltransferase 14	KAT14	HGNC:15904
667	LTB	TNFC	P33,TNFSF3	lymphotoxin beta	LTB	HGNC:6711
668	NUP98	NA	NUP96	nucleoporin 98	NUP98	HGNC:8068
669	HMGA2	HMGIC	BABL,LIPO	high mobility group AT-hook 2	HMGA2	HGNC:5009
670	ERCC2	XPD	MAG,EM9,MGC102762,MGC126218,MGC126219,TFIIH	ERCC excision repair 2, TFIIH core complex helicase subunit	ERCC2	HGNC:3434
671	SLC6A3	DAT1	DAT	solute carrier family 6 member 3	SLC6A3	HGNC:11049
672	MC2R	NA	ACTHR	melanocortin 2 receptor	MC2R	HGNC:6930
673	HPR	NA	NA	haptoglobin-related protein	HPR	HGNC:5156
674	HSP90AA1	HSPC1,HSPCA	HSP89,HSP90,FLJ31884,HSP90N	heat shock protein 90 alpha family class A member 1	HSP90AA1	HGNC:5253
675	KLF3	NA	BKLF	Kruppel like factor 3	KLF3	HGNC:16516
676	SPOP	NA	TEF2,BTBD32	speckle type BTB/POZ protein	SPOP	HGNC:11254
677	REPS2	NA	POB1	RALBP1 associated Eps domain containing 2	REPS2	HGNC:9963
678	BTG1	NA	APRO2	BTG anti-proliferation factor 1	BTG1	HGNC:1130
679	SCYL1	NTKL	HT019,P105,GKLP,NKTL,TAPK,TRAP,TEIF,MGC78454	SCY1 like pseudokinase 1	SCYL1	HGNC:14372
680	BARD1	NA	NA	BRCA1 associated RING domain 1	BARD1	HGNC:952
681	CDKN2C	NA	INK4C,P18	cyclin dependent kinase inhibitor 2C	CDKN2C	HGNC:1789
682	MUC4	NA	NA	mucin 4, cell surface associated	MUC4	HGNC:7514
683	UBE3A	EPVE6AP,HPVE6A	AS,ANCR,E6-AP,FLJ26981	ubiquitin protein ligase E3A	UBE3A	HGNC:12496
684	DLG1	NA	SAP97,SAP-97,HDLG,DLGH1,DJ1061C18.1.1	discs large MAGUK scaffold protein 1	DLG1	HGNC:2900
685	MSH3	NA	DUP,MRP1	mutS homolog 3	MSH3	HGNC:7326
686	HDLBP	VGL	HBP	high density lipoprotein binding protein	HDLBP	HGNC:4857
687	PATJ	INADL	CIPP	PATJ, crumbs cell polarity complex component	PATJ	HGNC:28881
688	HKR1	NA	ZNF875	HKR1, GLI-Kruppel zinc finger family member	HKR1	HGNC:4928
689	KMT2A	MLL	TRX1,HRX,ALL-1,HTRX1,CXXC7,MLL1A	lysine methyltransferase 2A	KMT2A	HGNC:7132
690	DICER1	MNG1	DICER,KIAA0928,K12H4.8-LIKE,HERNA	dicer 1, ribonuclease III	DICER1	HGNC:17098
691	SFRP4	NA	FRPHE,FRP-4,FRZB-2	secreted frizzled related protein 4	SFRP4	HGNC:10778
692	MCM5	CDC46	NA	minichromosome maintenance complex component 5	MCM5	HGNC:6948
693	TDGF1	NA	CRIPTO,CR,CRIPTO-1	teratocarcinoma-derived growth factor 1	TDGF1	HGNC:11701
694	HDAC3	NA	RPD3,HD3,RPD3-2	histone deacetylase 3	HDAC3	HGNC:4854
695	CASC3	NA	MLN51,BTZ	CASC3, exon junction complex subunit	CASC3	HGNC:17040
696	SLC27A1	NA	FATP1,FATP,MGC71751,FLJ00336,ACSVL5	solute carrier family 27 member 1	SLC27A1	HGNC:10995
697	RMND5B	NA	FLJ22318,GID2,GID2B	required for meiotic nuclear division 5 homolog B	RMND5B	HGNC:26181
698	GIMAP7	NA	MGC27027,IAN7	GTPase, IMAP family member 7	GIMAP7	HGNC:22404
699	MDS2	NA	NA	myelodysplastic syndrome 2 translocation associated	MDS2	HGNC:29633
700	CDKN3	NA	KAP,CDI1	cyclin dependent kinase inhibitor 3	CDKN3	HGNC:1791
701	CYB5R4	NCB5OR	B5+B5R,DJ676J13.1	cytochrome b5 reductase 4	CYB5R4	HGNC:20147
702	PBX1	NA	NA	PBX homeobox 1	PBX1	HGNC:8632
703	NR2F1	ERBAL3,TFCOUP1	EAR-3,COUP-TFI,TCFCOUP1,SVP44,COUPTF1	nuclear receptor subfamily 2 group F member 1	NR2F1	HGNC:7975
704	B4GALT5	NA	BETA4GALT-V	beta-1,4-galactosyltransferase 5	B4GALT5	HGNC:928
705	MAPK7	PRKM7	BMK1,ERK5	mitogen-activated protein kinase 7	MAPK7	HGNC:6880
706	SEPT2	DIFF6,NEDD5	KIAA0158,HNEDD5,PNUTL3	septin 2	SEPT2	HGNC:7729
707	SPINT1	NA	HAI,MANSC2	serine peptidase inhibitor, Kunitz type 1	SPINT1	HGNC:11246
708	IL3RA	NA	CD123	interleukin 3 receptor subunit alpha	IL3RA	HGNC:6012
709	CLTC	CLTCL2	HC	clathrin heavy chain	CLTC	HGNC:2092
710	MST1R	RON,PTK8	CDW136,CD136	macrophage stimulating 1 receptor	MST1R	HGNC:7381
711	DEFB1	NA	HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822	defensin beta 1	DEFB1	HGNC:2766
712	NRIP1	NA	RIP140	nuclear receptor interacting protein 1	NRIP1	HGNC:8001
713	ABI1	SSH3BP1	E3B1,ABI-1	abl interactor 1	ABI1	HGNC:11320
714	NBL1	NA	D1S1733E,NB,DAN,NO3,DAND1	neuroblastoma 1, DAN family BMP antagonist	NBL1	HGNC:7650
715	NRF1	NA	EWG,ALPHA-PAL	nuclear respiratory factor 1	NRF1	HGNC:7996
716	PRRX1	PMX1	PHOX1	paired related homeobox 1	PRRX1	HGNC:9142
717	NONO	NA	NRB54,NMT55,P54NRB,P54,PPP1R114	non-POU domain containing octamer binding	NONO	HGNC:7871
718	IGF1	NA	IGF1A,IGFI,IGF-I	insulin like growth factor 1	IGF1	HGNC:5464
719	PFN1	NA	NA	profilin 1	PFN1	HGNC:8881
720	FANCC	FACC	FAC,FA3	Fanconi anemia complementation group C	FANCC	HGNC:3584
721	PAX3	WS1	HUP2	paired box 3	PAX3	HGNC:8617
722	NUP133	NA	FLJ10814	nucleoporin 133	NUP133	HGNC:18016
723	DAB2	NA	DOC-2	DAB2, clathrin adaptor protein	DAB2	HGNC:2662
724	RERE	ATN1L	KIAA0458,ARP,ARG,DNB1	arginine-glutamic acid dipeptide repeats	RERE	HGNC:9965
725	SDC1	SDC	CD138,SYNDECAN,SYND1	syndecan 1	SDC1	HGNC:10658
726	RSRP1	C1ORF63	DJ465N24.2.1	arginine and serine rich protein 1	RSRP1	HGNC:25234
727	FANCA	FACA,FANCH	FAA,FA-H,FAH	Fanconi anemia complementation group A	FANCA	HGNC:3582
728	PDGFRA	NA	CD140A,PDGFR2,GAS9	platelet derived growth factor receptor alpha	PDGFRA	HGNC:8803
729	HMGA1	HMGIY	NA	high mobility group AT-hook 1	HMGA1	HGNC:5010
730	IDH2	NA	NA	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	IDH2	HGNC:5383
731	KLK5	NA	SCTE,KLK-L2	kallikrein related peptidase 5	KLK5	HGNC:6366
732	ERCC5	ERCM2,XPGC	NA	ERCC excision repair 5, endonuclease	ERCC5	HGNC:3437
733	SEMA4D	SEMAJ,C9ORF164	CD100,COLL-4,FLJ39737	semaphorin 4D	SEMA4D	HGNC:10732
734	IGHG1	NA	NA	immunoglobulin heavy constant gamma 1 (G1m marker)	NA	HGNC:5525
735	IL23A	NA	SGRF,IL23P19,IL-23,IL-23A,P19	interleukin 23 subunit alpha	IL23A	HGNC:15488
736	GRIN2D	NMDAR2D	GLUN2D,EB11,NR2D	glutamate ionotropic receptor NMDA type subunit 2D	GRIN2D	HGNC:4588
737	XAF1	NA	BIRC4BP,XIAPAF1,HSXIAPAF1	XIAP associated factor 1	XAF1	HGNC:30932
738	CTNND1	CTNND	KIAA0384,P120,P120CAS,P120CTN	catenin delta 1	CTNND1	HGNC:2515
739	KLK11	PRSS20	TLSP	kallikrein related peptidase 11	KLK11	HGNC:6359
740	DIRC1	NA	NA	disrupted in renal carcinoma 1	DIRC1	HGNC:15760
741	WNT3A	NA	NA	Wnt family member 3A	WNT3A	HGNC:15983
742	USP32	NA	NY-REN-60,USP10	ubiquitin specific peptidase 32	USP32	HGNC:19143
743	FSCB	C14ORF155	DKFZP434F1017	fibrous sheath CABYR binding protein	FSCB	HGNC:20494
744	KCTD2	NA	KIAA0176	potassium channel tetramerization domain containing 2	KCTD2	HGNC:21294
745	PSMA5	NA	ZETA	proteasome subunit alpha 5	PSMA5	HGNC:9534
746	PLEK2	NA	NA	pleckstrin 2	PLEK2	HGNC:19238
747	TAC1	TAC2,NKNA	NPK	tachykinin precursor 1	TAC1	HGNC:11517
748	CHFR	NA	FLJ10796,RNF196	checkpoint with forkhead and ring finger domains	CHFR	HGNC:20455
749	PTPN14	NA	PEZ	protein tyrosine phosphatase, non-receptor type 14	PTPN14	HGNC:9647
750	RAD51B	RAD51L1	REC2,HREC2,R51H2	RAD51 paralog B	RAD51B	HGNC:9822
751	CD69	NA	CLEC2C	CD69 molecule	CD69	HGNC:1694
752	XRCC3	NA	NA	X-ray repair cross complementing 3	XRCC3	HGNC:12830
753	MAGEE1	NA	KIAA1587,DAMAGE	MAGE family member E1	MAGEE1	HGNC:24934
754	KDM2B	FBXL10	PCCX2,CXXC2,FBL10,JHDM1B	lysine demethylase 2B	KDM2B	HGNC:13610
755	APH1A	NA	APH-1A,CGI-78	aph-1 homolog A, gamma-secretase subunit	APH1A	HGNC:29509
756	CRIP2	NA	CRP2,ESP1	cysteine rich protein 2	CRIP2	HGNC:2361
757	DUX4	NA	NA	double homeobox 4	DUX4	HGNC:50800
758	GGA1	NA	NA	golgi associated, gamma adaptin ear containing, ARF binding protein 1	GGA1	HGNC:17842
759	PLEKHG2	NA	CLG,FLJ00018,ARHGEF42	pleckstrin homology and RhoGEF domain containing G2	PLEKHG2	HGNC:29515
760	FUBP1	FUBP	FBP	far upstream element binding protein 1	FUBP1	HGNC:4004
761	MUC5AC	NA	MUC5	mucin 5AC, oligomeric mucus/gel-forming	MUC5AC	HGNC:7515
762	PIM2	NA	NA	Pim-2 proto-oncogene, serine/threonine kinase	PIM2	HGNC:8987
763	ADGRE5	CD97	TM7LN1	adhesion G protein-coupled receptor E5	ADGRE5	HGNC:1711
764	PRKD1	PRKCM	PKCM,PKD,PKC-MU	protein kinase D1	PRKD1	HGNC:9407
765	EPHA7	NA	HEK11	EPH receptor A7	EPHA7	HGNC:3390
766	SLC4A1	EPB3,AE1,DI,WD	RTA1A,CD233,FR,SW,WR	solute carrier family 4 member 1 (Diego blood group)	SLC4A1	HGNC:11027
767	ZFP36L1	BRF1	RNF162B,BERG36,ERF1,TIS11B,CMG1	ZFP36 ring finger protein like 1	ZFP36L1	HGNC:1107
768	DCC	NA	IGDCC1,NTN1R1	DCC netrin 1 receptor	DCC	HGNC:2701
769	PTPA	PPP2R4	PR53	protein phosphatase 2 phosphatase activator	PPP2R4	HGNC:9308
770	BAALC	NA	NA	BAALC, MAP3K1 and KLF4 binding	BAALC	HGNC:14333
771	ASL	NA	NA	argininosuccinate lyase	ASL	HGNC:746
772	APAF1	NA	CED4,APAF-1	apoptotic peptidase activating factor 1	APAF1	HGNC:576
773	NOP53	GLTSCR2	PICT-1,PICT1	NOP53 ribosome biogenesis factor	GLTSCR2	HGNC:4333
774	ABCC1	MRP,MRP1	GS-X	ATP binding cassette subfamily C member 1	ABCC1	HGNC:51
775	PRDX1	PAGA	NKEFA	peroxiredoxin 1	PRDX1	HGNC:9352
776	CIP2A	KIAA1524	NA	cell proliferation regulating inhibitor of protein phosphatase 2A	KIAA1524	HGNC:29302
777	RAP1A	NA	KREV-1,SMGP21	RAP1A, member of RAS oncogene family	RAP1A	HGNC:9855
778	AGER	NA	RAGE,SCARJ1	advanced glycosylation end-product specific receptor	AGER	HGNC:320
779	GAB1	NA	NA	GRB2 associated binding protein 1	GAB1	HGNC:4066
780	TGFB2	NA	NA	transforming growth factor beta 2	TGFB2	HGNC:11768
781	ERRFI1	NA	MIG-6,GENE-33,RALT	ERBB receptor feedback inhibitor 1	ERRFI1	HGNC:18185
782	FOXP1	NA	QRF1,12CC4,HSPC215,HFKH1B	forkhead box P1	FOXP1	HGNC:3823
783	RSPO3	THSD2	FLJ14440	R-spondin 3	RSPO3	HGNC:20866
784	NOL3	NA	ARC,NOP30,MYP,CARD2	nucleolar protein 3	NOL3	HGNC:7869
785	PLCL1	PLCE	PLC-L,PLCL,PRIP,PPP1R127	phospholipase C like 1 (inactive)	PLCL1	HGNC:9063
786	CUBN	MGA1	IFCR,GP280	cubilin	CUBN	HGNC:2548
787	COX6C	NA	NA	cytochrome c oxidase subunit 6C	COX6C	HGNC:2285
788	AP3M2	NA	CLA20,AP47B	adaptor related protein complex 3 subunit mu 2	AP3M2	HGNC:570
789	LGALS3BP	NA	MAC-2-BP,90K,BTBD17B,TANGO10B,M2BP,GP90,CYCAP	galectin 3 binding protein	LGALS3BP	HGNC:6564
790	GADD45G	NA	DDIT2,GADD45GAMMA,GRP17,CR6	growth arrest and DNA damage inducible gamma	GADD45G	HGNC:4097
791	CDC25C	CDC25	PPP1R60	cell division cycle 25C	CDC25C	HGNC:1727
792	GMPS	NA	GATD7	guanine monophosphate synthase	GMPS	HGNC:4378
793	E2F1	RBBP3	RBP3	E2F transcription factor 1	E2F1	HGNC:3113
794	NCOA4	NA	ARA70,RFG,ELE1,PTC3,DKFZP762E1112	nuclear receptor coactivator 4	NCOA4	HGNC:7671
795	MRE11	MRE11A	ATLD	MRE11 homolog, double strand break repair nuclease	MRE11A	HGNC:7230
796	DST	BPAG1	BP240,KIAA0728,FLJ21489,FLJ13425,FLJ32235,FLJ30627,CATX-15,BPA,MACF2	dystonin	DST	HGNC:1090
797	MIR125B1	MIRN125B1	HSA-MIR-125B-1	microRNA 125b-1	MIR125B1	HGNC:31506
798	CDC6	CDC18L	NA	cell division cycle 6	CDC6	HGNC:1744
799	KSR1	KSR	RSU2	kinase suppressor of ras 1	KSR1	HGNC:6465
800	CYP7A1	CYP7	NA	cytochrome P450 family 7 subfamily A member 1	CYP7A1	HGNC:2651
801	APEH	D3F15S2,DNF15S2,D3S48E	NA	acylaminoacyl-peptide hydrolase	APEH	HGNC:586
802	TNN	NA	NA	tenascin N	TNN	HGNC:22942
803	ABCB4	PGY3,MDR3	MDR2,PFIC-3,GBD1	ATP binding cassette subfamily B member 4	ABCB4	HGNC:45
804	STX4	STX4A	P35-2	syntaxin 4	STX4	HGNC:11439
805	BCL11A	EVI9	BCL11A-XL,BCL11A-L,BCL11A-S,CTIP1,HBFQTL5,ZNF856	B cell CLL/lymphoma 11A	BCL11A	HGNC:13221
806	AR	DHTR,SBMA	AIS,NR3C4,SMAX1,HUMARA	androgen receptor	AR	HGNC:644
807	TET2	KIAA1546	FLJ20032	tet methylcytosine dioxygenase 2	TET2	HGNC:25941
808	IGFBP1	IBP1	IGF-BP25,AFBP,HIGFBP-1,PP12	insulin like growth factor binding protein 1	IGFBP1	HGNC:5469
809	RUNX1	AML1,CBFA2	PEBP2A2,AMLCR1	runt related transcription factor 1	RUNX1	HGNC:10471
810	MMP11	STMY3	NA	matrix metallopeptidase 11	MMP11	HGNC:7157
811	ABCB10	NA	EST20237,M-ABC2,MTABC2	ATP binding cassette subfamily B member 10	ABCB10	HGNC:41
812	SLC30A5	NA	ZTL1,ZNT-5,FLJ12496,FLJ12756,ZNT5,MGC5499,ZNTL1	solute carrier family 30 member 5	SLC30A5	HGNC:19089
813	RUNX1T1	AML1T1,CBFA2T1	CDR,ETO,MTG8,ZMYND2	RUNX1 translocation partner 1	RUNX1T1	HGNC:1535
814	MECOM	MDS1,EVI1	MDS1-EVI1,PRDM3,KMT8E	MDS1 and EVI1 complex locus	MECOM	HGNC:3498
815	SYNE3	C14ORF49,LINC00341,C14ORF139,NCRNA00341	FLJ25605,NET53,NESPRIN-3,NESP3	spectrin repeat containing nuclear envelope family member 3	SYNE3	HGNC:19861
816	ACTL9	NA	MGC33407	actin like 9	ACTL9	HGNC:28494
817	SNX5	NA	NA	sorting nexin 5	SNX5	HGNC:14969
818	SMARCB1	SNF5L1	BAF47,INI1,SNR1,HSNFS,SFH1P,RDT,PPP1R144,SNF5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	SMARCB1	HGNC:11103
819	CD200	MOX1,MOX2	MRC,OX-2	CD200 molecule	CD200	HGNC:7203
820	XXYLT1	C3ORF21	FLJ35155	xyloside xylosyltransferase 1	XXYLT1	HGNC:26639
821	N4BP3	NA	LZTS4	NEDD4 binding protein 3	N4BP3	HGNC:29852
822	NFIC	NFI	CTF,NF-I,CTF5	nuclear factor I C	NFIC	HGNC:7786
823	AFDN	MLLT4	AF-6,AF6	afadin, adherens junction formation factor	MLLT4	HGNC:7137
824	FOXO4	MLLT7	AFX1	forkhead box O4	FOXO4	HGNC:7139
825	FOSB	NA	G0S3,GOSB,GOS3,AP-1,MGC42291,DKFZP686C0818	FosB proto-oncogene, AP-1 transcription factor subunit	FOSB	HGNC:3797
826	LRIG1	NA	LIG-1,DKFZP586O1624,LIG1	leucine rich repeats and immunoglobulin like domains 1	LRIG1	HGNC:17360
827	SRGAP3	SRGAP2	KIAA0411,MEGAP,WRP,ARHGAP14	SLIT-ROBO Rho GTPase activating protein 3	SRGAP3	HGNC:19744
828	ROBO1	NA	DUTT1,FLJ21882,SAX3	roundabout guidance receptor 1	ROBO1	HGNC:10249
829	MCPH1	NA	FLJ12847,BRIT1	microcephalin 1	MCPH1	HGNC:6954
830	AKT3	NA	PKBG,RAC-GAMMA,PRKBG	AKT serine/threonine kinase 3	AKT3	HGNC:393
831	THOC5	C22ORF19	PK1.3,KIAA0983,FMIP,FSAP79	THO complex 5	THOC5	HGNC:19074
832	EIF3E	INT6,EIF3S6	EIF3-P48,EIF3E	eukaryotic translation initiation factor 3 subunit E	EIF3E	HGNC:3277
833	PEG10	NA	KIAA1051,HB-1,MEF3L,RGAG3,MAR2,MART2,SIRH1,RTL2	paternally expressed 10	PEG10	HGNC:14005
834	BCL2L2	NA	KIAA0271,BCL-W,PPP1R51	BCL2 like 2	BCL2L2	HGNC:995
835	SEL1L	NA	IBD2,SEL1L1	SEL1L, ERAD E3 ligase adaptor subunit	SEL1L	HGNC:10717
836	ALG14	NA	MGC19780	ALG14, UDP-N-acetylglucosaminyltransferase subunit	ALG14	HGNC:28287
837	IRF4	MUM1	LSIRF	interferon regulatory factor 4	IRF4	HGNC:6119
838	TRIM37	MUL	KIAA0898,POB1,TEF3	tripartite motif containing 37	TRIM37	HGNC:7523
839	RASSF6	NA	NA	Ras association domain family member 6	RASSF6	HGNC:20796
840	TSG101	TSG10	VPS23	tumor susceptibility 101	TSG101	HGNC:15971
841	HSP90AB1	HSPC2,HSPCB	NA	heat shock protein 90 alpha family class B member 1	HSP90AB1	HGNC:5258
842	C15orf65	NA	FLJ27352	chromosome 15 open reading frame 65	C15ORF65	HGNC:44654
843	RAD9A	RAD9	NA	RAD9 checkpoint clamp component A	RAD9A	HGNC:9827
844	STK38L	NA	KIAA0965,NDR2	serine/threonine kinase 38 like	STK38L	HGNC:17848
845	IRF1	NA	MAR	interferon regulatory factor 1	IRF1	HGNC:6116
846	FLII	NA	FLI,FLIL,FLI1,MGC39265	FLII, actin remodeling protein	FLII	HGNC:3750
847	RBL1	NA	P107,CP107,PRB1	RB transcriptional corepressor like 1	RBL1	HGNC:9893
848	GPX1	NA	NA	glutathione peroxidase 1	GPX1	HGNC:4553
849	S1PR4	EDG6	NA	sphingosine-1-phosphate receptor 4	S1PR4	HGNC:3170
850	BMPR1A	ACVRLK3	ALK3,CD292	bone morphogenetic protein receptor type 1A	BMPR1A	HGNC:1076
